Time        Displacement        Load
sec        mm        kN
29.53515625        0.150489286        2.355750244
29.63476563        0.151669796        2.37323999
29.734375        0.151770713        2.416703857
29.83398438        0.15225845        2.422776611
29.93359375        0.155536167        2.448616943
30.03320313        0.153294415        2.462208252
30.1328125        0.156098977        2.491916504
30.23242188        0.155780683        2.511854248
30.33203125        0.157064729        2.537706055
30.43164063        0.157019225        2.564941162
30.53125        0.160908821        2.580220459
30.63085938        0.160433992        2.596661133
30.73046875        0.161706805        2.632564453
30.83007813        0.162110475        2.643541504
30.9296875        0.161986536        2.663713379
31.02929688        0.16509011        2.678642578
31.12890625        0.166781392        2.710428467
31.22851563        0.166944839        2.733687988
31.328125        0.167459919        2.752374512
31.42773438        0.165936595        2.78301709
31.52734375        0.168189377        2.800541992
31.62695313        0.170345564        2.820292725
31.7265625        0.170642335        2.849054932
31.82617188        0.170929168        2.86375708
31.92578125        0.173634122        2.883554932
32.02539063        0.174633955        2.896349365
32.125        0.175109337        2.943004883
32.22460938        0.176198097        2.962096924
32.32421875        0.176253903        2.970421387
32.42382813        0.177738839        3.001550293
32.5234375        0.178499933        3.022374512
32.62304688        0.182750882        3.051201416
32.72265625        0.180821822        3.077323486
32.82226563        0.181813404        3.091417236
32.921875        0.182380347        3.112287109
33.02148438        0.182683681        3.126596924
33.12109375        0.184739678        3.160947021
33.22070313        0.186087753        3.171098145
33.3203125        0.18387298        3.200788086
33.41992188        0.184946941        3.22836084
33.51953125        0.187122772        3.250993164
33.61914063        0.189239639        3.276776123
33.71875        0.190608494        3.306308105
33.81835938        0.191517713        3.315125488
33.91796875        0.191446554        3.338457275
34.01757813        0.192381602        3.345300049
34.1171875        0.194667911        3.392035889
34.21679688        0.194079432        3.396243164
34.31640625        0.196490248        3.422150146
34.41601563        0.196518158        3.445900146
34.515625        0.1977067        3.472728027
34.61523438        0.198655791        3.505167969
34.71484375        0.19827178        3.511438232
34.81445313        0.199945644        3.547764893
34.9140625        0.201467468        3.568073242
35.01367188        0.204609241        3.58163623
35.11328125        0.202752461        3.611049561
35.21289063        0.204650059        3.627074951
35.3125        0.205381963        3.662313965
35.41210938        0.205936929        3.669363037
35.51171875        0.208346057        3.700380615
35.61132813        0.208329948        3.736441406
35.7109375        0.210760612        3.740074951
35.81054688        0.209415157        3.768948975
35.91015625        0.211300576        3.787914795
36.00976563        0.212177212        3.815786621
36.109375        0.211969003        3.851497559
36.20898438        0.213578096        3.857472168
36.30859375        0.21408849        3.889676514
36.40820313        0.216230066        3.90923877
36.5078125        0.21542552        3.935824707
36.60742188        0.217647234        3.964313232
36.70703125        0.218319212        3.973018555
36.80664063        0.219553651        3.998069336
36.90625        0.220161965        4.010908691
37.00585938        0.222381612        4.052405273
37.10546875        0.223478797        4.072250488
37.20507813        0.224197211        4.088728516
37.3046875        0.224758158        4.118368164
37.40429688        0.224986405        4.136890625
37.50390625        0.226067859        4.167755371
37.60351563        0.226972392        4.202831055
37.703125        0.228473815        4.2075625
37.80273438        0.22880522        4.242125977
37.90234375        0.230464095        4.239814941
38.00195313        0.234947031        4.282046387
38.1015625        0.230943042        4.311314941
38.20117188        0.232985578        4.324894531
38.30078125        0.2339356        4.346366211
38.40039063        0.233955056        4.3871875
38.5        0.235147352        4.411143555
38.59960938        0.238521112        4.430544434
38.69921875        0.238650508        4.446589844
38.79882813        0.239029279        4.483941895
38.8984375        0.239334637        4.506814941
38.99804688        0.240520778        4.53443457
39.09765625        0.241407324        4.556258301
39.19726563        0.241928952        4.576928711
39.296875        0.24330306        4.607883301
39.39648438        0.243666669        4.635855957
39.49609375        0.246102019        4.663494141
39.59570313        0.246234005        4.684066406
39.6953125        0.247894583        4.700268066
39.79492188        0.248545402        4.732833496
39.89453125        0.248444849        4.742230957
39.99414063        0.250015553        4.78648584
40.09375        0.252348487        4.809992188
40.19335938        0.254987535        4.841141113
40.29296875        0.252338941        4.864793945
40.39257813        0.254270039        4.88805127
40.4921875        0.254530489        4.924200684
40.59179688        0.256676547        4.943158203
40.69140625        0.255397754        4.954791504
40.79101563        0.25808622        4.982290039
40.890625        0.258596265        5.012766602
40.99023438        0.25788162        5.052541016
41.08984375        0.259633147        5.05565625
41.18945313        0.261743291        5.089914063
41.2890625        0.263479858        5.124581055
41.38867188        0.263360795        5.135550293
41.48828125        0.264520146        5.17773584
41.58789063        0.264816743        5.193442871
41.6875        0.266468327        5.215789063
41.78710938        0.267413823        5.246458496
41.88671875        0.266565854        5.265334473
41.98632813        0.268925942        5.292303223
42.0859375        0.269647717        5.321621582
42.18554688        0.270649238        5.352774414
42.28515625        0.271193334        5.377075684
42.38476563        0.270892429        5.393186523
42.484375        0.276631326        5.45052832
42.58398438        0.276404782        5.456579102
42.68359375        0.27549782        5.488041016
42.78320313        0.276092294        5.493972656
42.8828125        0.276909908        5.525130859
42.98242188        0.279044965        5.568339844
43.08203125        0.279256696        5.588433594
43.18164063        0.278772524        5.619709961
43.28125        0.280463428        5.646482422
43.38085938        0.28197607        5.664090332
43.48046875        0.284031528        5.704297852
43.58007813        0.285111135        5.717767578
43.6796875        0.284630107        5.747131836
43.77929688        0.286098599        5.75764502
43.87890625        0.286928029        5.800638184
43.97851563        0.288995099        5.841635742
44.078125        0.288226292        5.855156738
44.17773438        0.290982192        5.895728516
44.27734375        0.290638796        5.904819824
44.37695313        0.291982578        5.931555664
44.4765625        0.293357996        5.967148926
44.57617188        0.294975704        5.969722656
44.67578125        0.29345628        6.020996094
44.77539063        0.296102284        6.037401855
44.875        0.297098712        6.072583008
44.97460938        0.298140309        6.100797852
45.07421875        0.297912047        6.116888672
45.17382813        0.300385407        6.146392578
45.2734375        0.300164276        6.168757813
45.37304688        0.301022781        6.195302246
45.47265625        0.302877685        6.225397949
45.57226563        0.302230794        6.242976074
45.671875        0.304106303        6.277623535
45.77148438        0.305525726        6.293239258
45.87109375        0.306088186        6.336763184
45.97070313        0.30739131        6.361256348
46.0703125        0.308232353        6.383171875
46.16992188        0.310184259        6.427303223
46.26953125        0.310164614        6.43448877
46.36914063        0.312211254        6.470634766
46.46875        0.312290445        6.496606445
46.56835938        0.312688702        6.510714355
46.66796875        0.314033241        6.547821289
46.76757813        0.315062993        6.571770996
46.8671875        0.314508216        6.603514648
46.96679688        0.31617441        6.629414063
47.06640625        0.318181003        6.656244141
47.16601563        0.320372026        6.69379248
47.265625        0.320490159        6.714928223
47.36523438        0.321145257        6.754426758
47.46484375        0.32296573        6.759560547
47.56445313        0.32283974        6.785618652
47.6640625        0.323789573        6.829904297
47.76367188        0.324921974        6.832993652
47.86328125        0.323869695        6.880623047
47.96289063        0.326126639        6.894516113
48.0625        0.327894086        6.930730469
48.16210938        0.328618306        6.964363281
48.26171875        0.328975002        6.975847168
48.36132813        0.330257753        7.019789551
48.4609375        0.330715906        7.020779297
48.56054688        0.330971467        7.060646484
48.66015625        0.335529301        7.090018066
48.75976563        0.332817232        7.117020996
48.859375        0.333618373        7.147802246
48.95898438        0.337208039        7.161938965
49.05859375        0.33668059        7.196939941
49.15820313        0.338176586        7.224603027
49.2578125        0.339436869        7.244040039
49.35742188        0.33965084        7.286758789
49.45703125        0.339812424        7.289725586
49.55664063        0.342536485        7.338986328
49.65625        0.342721672        7.354650391
49.75585938        0.343301712        7.384514648
49.85546875        0.344347995        7.417325195
49.95507813        0.345404143        7.428594727
50.0546875        0.345589709        7.47062207
50.15429688        0.348229485        7.485848633
50.25390625        0.345502252        7.514151367
50.35351563        0.350933726        7.542467773
50.453125        0.350118324        7.558631836
50.55273438        0.351229741        7.593366699
50.65234375        0.352319621        7.614094727
50.75195313        0.35265999        7.643019043
50.8515625        0.35498169        7.678885254
50.95117188        0.354524294        7.69641748
51.05078125        0.356282602        7.739407227
51.15039063        0.356713048        7.752307129
51.25        0.358342164        7.788758301
51.34960938        0.358443649        7.81178125
51.44921875        0.359925209        7.825726563
51.54882813        0.3608595        7.872463379
51.6484375        0.359831436        7.876028809
51.74804688        0.364525913        7.921076172
51.84765625        0.3624495        7.941143066
51.94726563        0.364597247        7.968895996
52.046875        0.365125452        8.004280273
52.14648438        0.366982043        8.020693848
52.24609375        0.368898356        8.053376953
52.34570313        0.36899012        8.073089844
52.4453125        0.369770132        8.088005859
52.54492188        0.371200207        8.137000977
52.64453125        0.371406553        8.147565918
52.74414063        0.373196119        8.191032227
52.84375        0.374637078        8.212732422
52.94335938        0.373419112        8.227345703
53.04296875        0.375586911        8.267902344
53.14257813        0.374805386        8.283999023
53.2421875        0.380400481        8.316839844
53.34179688        0.37788201        8.327939453
53.44140625        0.3793574        8.357967773
53.54101563        0.380227662        8.382833008
53.640625        0.380140438        8.407844727
53.74023438        0.38295961        8.45422168
53.83984375        0.384104147        8.45959668
53.93945313        0.385674648        8.492599609
54.0390625        0.384408428        8.522207031
54.13867188        0.386457308        8.545529297
54.23828125        0.386282423        8.586139648
54.33789063        0.388201384        8.597269531
54.4375        0.388499815        8.62140918
54.53710938        0.389448745        8.660750977
54.63671875        0.392567279        8.667725586
54.73632813        0.391980691        8.704584961
54.8359375        0.391108537        8.735897461
54.93554688        0.393155759        8.752998047
55.03515625        0.394368835        8.791266602
55.13476563        0.394642761        8.810462891
55.234375        0.39667837        8.852024414
55.33398438        0.397583819        8.854476563
55.43359375        0.397690368        8.888244141
55.53320313        0.398471864        8.913644531
55.6328125        0.401693222        8.934572266
55.73242188        0.400720717        8.976953125
55.83203125        0.402554317        8.988919922
55.93164063        0.403060956        9.037731445
56.03125        0.404055521        9.054436523
56.13085938        0.40316899        9.072867188
56.23046875        0.407446903        9.115911133
56.33007813        0.406098814        9.116960938
56.4296875        0.407809741        9.165798828
56.52929688        0.409078813        9.181804688
56.62890625        0.410020031        9.210745117
56.72851563        0.411960733        9.245851563
56.828125        0.411963352        9.246015625
56.92773438        0.414591515        9.304699219
